ID ; Возраст ; Тип игры ; Название игры ; Проблема поведения ; Цель ; Краткое описание ; Пошаговая инструкция ; Формат ; Вопросы для обсуждения ; Роль взрослого / как себя вести ; Подготовка / условия для игры ; Источник ; Автор / организация ; Год ;Риски/ограничения;;;
1; 2–5 лет ; Сенсорная ; Непослушание, переутомление ; Лимон ; Научить ребенка замечать напряжение и расслаблять тело ; Ребенок «выжимает сок из лимона» в ладошке, по очереди напрягая и расслабляя мышцы рук ; 1. Скажите: «Представь, что в руке лимон, и нужно выжать из него весь сок». 2. Попросите сильно сжать правую руку в кулак. 3. Подержите напряжение 3–5 секунд, затем расслабить. 4. Повторите с другой рукой. 5. В конце сделайте вместе пару спокойных вдохов-выдохов. ; Родитель–ребенок ; «Когда рука была твёрдая, а когда мягкая?», «Где приятнее — когда напряжено или когда расслаблено?» ; Говорить спокойно, показывать на себе, не торопить, хвалить не за «правильность», а за попытку почувствовать разницу. ;" Выбрать спокойный момент, когда ребенок не перевозбужден; убрать отвлекающие факторы; объяснить, что это короткая игра для тела. "; Картотеки коррекционных упражнений для снятия мышечного напряжения ; Педагог?психолог (обобщенный формат) ;2021;Важно, чтобы игра оставалась лёгкой: не добивайтесь правильного ответа и не продолжайте, если ребёнок устал или отвлёкся;;;
2; 2–5 лет ; Творческая, эмоциональная, на привязанность ; Эмоциональный котёнок ; Укрепить привязанность, дать опыт принятия и заботы ; Ребенок играет котёнка, взрослый — маму?кошку, через ласковые прикосновения и сюжет ребенок «наигрывает» внимание и любовь ; 1. Скажите: «Ты котёнок, а я мама?кошка». 2. Разложите плед на полу, предложите котёнку «понежиться на солнышке». 3. Попросите потягиваться, умываться лапками, выгибать спинку. 4. «Мама?кошка» гладит, «вылизывает» рукой спинку, животик, лапки. 5. Добавляйте фразы: «Какой ты любимый котёнок», «Я рядом», «Я тебя защищаю». 6. В конце котёнок приходит «на ручки» — объятия, укутывание. ; Родитель–ребенок ; «Что больше всего понравилось котёнку?», «Где в теле сейчас тепло или приятно?» ;" Максимум мягкости, много телесного контакта, никаких шуток над чувствами; отражать: «Ты, кажется, расслабился», «Тебе хорошо рядом со мной». ";" Лучше перед сном или после активной части дня; убрать гаджеты; предупредить, что это игра только про вас двоих, где нет оценок и правил. "; Ваш файл «Давай играть» (упражнение «Котёнок») ; Автор/проект «Давай играть» ;2024; Ваша таблица, строка с описанием игры[file:11];"Поддерживайте любые варианты ребёнка, даже если они не совпадают с вашим планом; главное — совместное удовольствие от процесса";;;
3; 2–5 лет ; Творческая, сенсорная ; Чернильные облака ; Снять эмоциональное напряжение, развить воображение и дать язык для чувств ; Ребенок делает случайные пятна краской и дорисовывает их в образы, обсуждая, что чувствуют «персонажи» ; 1. Дайте лист и жидкую краску. 2. Предложите накапать несколько пятен. 3. Сложить лист пополам, слегка прижать. 4. Развернуть и посмотреть, на что похожи пятна. 5. Попросить дорисовать детали (глаза, крылья и т.п.). 6. Обсудить: «Кто это? Как он себя чувствует?» ; Родитель–ребенок, группа ; «Какое облако тебе нравится больше всего?», «Есть облако, похожее на тебя сегодня?», «На какое чувство оно похоже?» ;" Не оценивать «красоту» рисунка; принимать любые ответы; задавать мягкие вопросы, не додумывая за ребенка, если он не хочет. ";" Нужен стол, краски и защита одежды; лучше не в момент сильной истерики, а в чуть более спокойном состоянии; сказать, что это игра-путешествие в воображение. "; Арт?терапевтические упражнения с пятнами/кляксами (адаптация) ; Педагоги?психологи, арт?терапевты (обобщено) ;2021; Онлайн?картотеки арт?игр[web:49][web:37];"Не задавайте слишком много вопросов подряд, чтобы не перегружать малыша; делайте маленькие паузы и давайте время подумать";;;
4; 2–5 лет ; Творческая, сенсорная, коммуникативная ; Рисуем пальчиками ; Снять напряжение, развить телесную свободу и контакт ; Ребенок рисует пальцами краской, иногда в паре с взрослым, без оценки результата ; 1. Подготовьте листы и пальчиковые краски. 2. Покажите, как делать точки, линии, круги пальцами. 3. Предложите ребенку свободно «играть с краской». 4. При парном рисовании — один начинает, другой добавляет. 5. В конце спросить, на что похоже то, что получилось. ; Родитель–ребенок, группа ; «Как чувствовали себя пальчики — свободно или зажато?», «Что тебе понравилось рисовать больше всего?» ;" Не говорить «аккуратнее, не пачкай» в терапевтической части; держать тёплый, одобряющий тон; замечать радость и интерес ребенка. ";" Подготовить место, где можно не бояться испачкаться; надеть фартуки; заранее сказать, что в этой игре «можно пачкать бумагу и руки». "; Арт?терапевтические игры «рисунок пальцами», «парное рисование» (адаптация) ; Психологи и педагоги (обобщенные практики) ; 2021–2025 ; Онлайн?картотеки арт?терапии[web:49][web:37][web:50];Если ребёнок начинает волноваться или стесняться, можно взять на себя часть действий и мягко показать на примере, как можно играть;;;
5; 4–6 лет ; Подвижная, эмоциональная ; Коврик злости ; Дать безопасный способ выражать злость телом и словами ; У ребенка есть «место злости» (коврик/подушка), на котором можно топать, бить подушку и проговаривать, на что он злится ; 1. Выделите дома специальный «коврик злости». 2. Объясните: «Когда ты очень злишься, можно встать сюда и показать злость ногами и руками». 3. Покажите пример сами. 4. Предложите ребенку потопать, побить подушку на коврике. 5. Через 20–40 секунд предложите остановиться и сделать несколько вдохов. 6. Попросите сказать: «Я злюсь, когда…». ; Родитель–ребенок ; «Стало ли тебе легче?», «Хочешь, чтобы я был(а) рядом, когда ты на коврике злости?» ;" Не смеяться над выражением злости; не критиковать за силу движений, если они безопасны; чётко держать правило «бить можно только коврик/подушку, не людей и не вещи». ";" Объяснить правила заранее, в спокойный момент; дать понять, что злиться можно, но есть безопасный способ; выбрать мягкий коврик/подушку. "; Игры и упражнения для работы с детской агрессией и эмоциями (адаптация формата «коврик злости») ; Детские психологи (обобщенные практики) ; 2018–2024 ; Подборки упражнений для работы с эмоциями у детей[web:52][web:30];"Не превращайте игру в проверку знаний; лучше замечайте успехи и подмечайте, что у ребёнка получается особенно хорошо";;;
6; 2–5 лет ; Коммуникативная, эмоциональная ; Чудо?зеркало ; Развивать осознавание эмоций и эмпатию ; Ребенок и взрослый по очереди показывают эмоцию, другой «зеркалит» её лицом и телом ; 1. Сядьте друг напротив друга. 2. Скажите: «Сейчас ты — зеркало. Я покажу лицо, а ты повторишь». 3. Покажите радость, удивление, грусть, страх, злость, по одной эмоции. 4. Поменяйтесь ролями. 5. По каждой эмоции спросите: «Когда ты так чувствуешь себя?» ; Родитель–ребенок, группа ; «Какое лицо было делать легче всего?», «Какое не понравилось делать?», «Когда ты так смотришь в жизни?» ;" Делать лица мягко, чтобы не напугать; не высмеивать выражения ребенка; поддерживать: «Да, похоже, ты хорошо показываешь». ";" Выбрать спокойное время; можно перед зеркалом; объяснить, что это «игра в эмоции», где нет правильных и неправильных ответов. "; Игры на развитие эмоциональной сферы и мимики (адаптация «зеркальных» упражнений) ; Психологи/логопеды (обобщённый формат) ; 2019–2024 ; Подборки игр для развития эмоций[web:52][web:24];"Не исправляйте каждую «ошибку» ребёнка, пусть он пробует по?своему; вмешивайтесь только если что?то становится совсем непонятно или опасно";;;
7; 2–5 лет ; На привязанность, эмоциональная ; Волшебные объятия ; Укреплять чувство безопасности и принятия ; Взрослый даёт ребенку «особые объятия» с проговариванием его ценности и любви ; 1. Присядьте на уровень ребёнка. 2. Скажите: «Сейчас будут мои волшебные объятия для тебя». 3. Обнимите, удерживая 5–10 секунд. 4. В объятиях проговорите: «Ты важен для меня», «Я люблю тебя даже, когда ты злишься». 5. Спросите: «Хочешь ещё одно объятие?» ; Родитель–ребенок ; «Как тебе в этих объятиях — тепло, спокойно, по?другому?», «Когда тебе особенно нужны такие объятия?» ;" Следить за своим состоянием — не обнимать напряженно; не использовать объятия как манипуляцию; уважать отказ ребенка от объятий. ";" Лучше не во время пиковой истерики, а немного позже; можно перед сном; предупредить, что это «особые объятия, которые всегда доступны». "; Практики эмоционально?ориентированного родительства (адаптация) ; Детские психологи / ЕОП?подходы (обобщено) ; 2020–2025 ; Статьи о поддерживающем телесном контакте[web:54][web:56];Сохраняйте спокойный темп, не торопите малыша и давайте ему возможность доделывать действия до конца;;;
8; 2–5 лет ; Сенсорная, подвижная ; Волшебный мешочек ; Развивать тактильное восприятие, внимание и интерес к миру вне гаджетов ; Ребенок на ощупь вытаскивает предметы из мешочка и угадывает их по ощущениям ; 1. Наполните мешочек предметами разной фактуры. 2. Предложите ребенку засунуть руку и на ощупь найти один предмет. 3. Попросите описать ощущения: мягкий/жёсткий, холодный/тёплый. 4. Пусть попробует угадать, что это. 5. Вынуть и проверить. ; Родитель–ребенок, группа ; «Какой предмет был самый приятный?», «Какой не понравился? Почему?» ;" Не подгонять, не давать сразу ответ; поощрять описания; превращать угадывание в игру, а не экзамен. ";" Подготовить мешочек и предметы заранее; выбрать время, когда ребенок не сильно устал; убрать гаджеты из поля зрения. "; Сенсорные игры для дошкольников (адаптация) ; Педагоги?психологи, дефектологи (обобщенные форматы) ; 2020–2025 ; Подборки сенсорных игр[web:16][web:20][web:28][web:31];"Не сравнивайте ребёнка с братьями, сёстрами или другими детьми; лучше отмечайте, что именно у него самого получается классно";;;
9; 2–5 лет ; Коммуникативная, эмоциональная ; Волшебный микрофон ; Помогать говорить о себе, уменьшать односложные ответы ; Ребенок говорит в игрушечный «микрофон» фразы по простым шаблонам, взрослый слушает и принимает ; 1. Сделайте «микрофон» (игрушка, рулон от полотенец). 2. Объясните: «Кто держит микрофон — тот говорит, другой внимательно слушает». 3. Задавайте начала фраз: «Я люблю…», «Мне страшно, когда…», «Я рад, когда…». 4. Передавайте микрофон туда?сюда. ; Родитель–ребенок ; «Как тебе, когда тебя слушают и не перебивают?», «Хочешь ли ты ещё что?то сказать в микрофон?» ;" Слушать до конца, не перебивать, не оценивать; благодарить за любую, даже короткую фразу; не превращать игру в допрос. ";" Выбрать спокойный момент; предупредить, что здесь можно говорить всё, и никто не будет ругать; убрать лишние шумы. "; Психологические игры на развитие коммуникации и доверия (адаптация) ; Психологи/педагоги (обобщенные форматы доверительных игр) ;2024; Игры на сближение родителя и ребенка[web:54][web:57];Если ребёнку не нравится какой?то элемент игры, спокойно замените его на более приятный или пропустите — это нормально;;;
10; 2–5 лет ; Когнитивная, эмоциональная ; Цвет настроения ; Помочь ребенку связывать настроение с цветом и учиться его обозначать ; Ребенок выбирает цвет, который подходит его настроению, и рисует/закрашивает им ; 1. Разложите перед ребенком карандаши/карточки разных цветов. 2. Спросите: «Какой цвет похож на твоё настроение сейчас?» 3. Попросите выбрать и нарисовать что?то этим цветом. 4. Спросите: «Что делает тебя таким цветом?» ; Родитель–ребенок ; «Какой цвет у тебя бывает, когда ты радуешься?», «Какой цвет, когда ты злишься/боишься?» ;" Не спорить с выбором цвета; не навязывать свои ассоциации; мягко интересоваться, а не допрашивать. ";" Нужны лист и цвета; лучше в относительно спокойном состоянии; объяснить, что у каждого своё «цветное настроение», и это нормально. "; Упражнения для развития эмоционального интеллекта у детей (адаптация идей «цвета настроения») ; Психологи и педагоги (обобщенные методики по EQ) ; 2020–2026 ; Подборки игр на развитие эмоционального интеллекта[web:29][web:24][web:45];"Играйте только тогда, когда ребёнок спокоен и не переутомлён; если ему надоело или стало неспокойно, просто сделайте паузу и предложите другую активность";;;
